"ID_ARTICLE","ID_SAMPLE","id_effect","Authors","PublicationYear","PublicationType","Country","GGGI","GeoArea","SchoolLevel","GradeM","MeanAge_months","TaskName","Standardized","Computerized","IndexName","ScoreType","ScoreSign","MathContent","N","male_N","fem_N","male_mean","male_sd","fem_mean","fem_sd","eff","vi","vi_0","lb","ub"
347,"347_1",11,"Afolabi, 2011",2011,0,"United States",0.739076923,"NorthAmerica","4.High",10,NA,"Massachusetts Comprehensive Assessment System (MCAS)",0,"0","Accuracy","Raw",1,"NationalTest",83,33,50,237.45,17.602,235.84,16.412,0.0953105784535451,0.0503577538353505,0.0503030303030303,-0.351022604920185,0.541643761827275
2765,"2765_1",12,"Ahlstrom, 2018",2018,0,"United States",0.739076923,"NorthAmerica","5.UniversityAdults",14,NA,"Scholastic Assessment Test (SAT Math)",1,"0","Accuracy","Raw",1,"NationalTest",12815,6720,6095,620.08,76.87,594.36,75,0.338481859029549,0.00031734858370298,0.000312878432751279,0.303563213142774,0.373400504916325
2765,"2765_2",13,"Ahlstrom, 2018",2018,0,"United States",0.739076923,"NorthAmerica","5.UniversityAdults",14,NA,"Scholastic Assessment Test (SAT Math)",1,"0","Accuracy","Raw",1,"NationalTest",7211,3878,3333,622.05,73.72,601.38,68.53,0.289625173337754,0.000563711186132674,0.000557894881803807,0.243082714897283,0.336167631778225
955,"955_1",14,"Ahrenfeldt et al., 2013",2013,1,"United States",0.739076923,"NorthAmerica","3.Middle",9,NA,NA,1,"0","Accuracy","Raw",1,"BroadMathematics",5867,2926,2941,8.13,1.4,7.94,1.4,0.135714285714286,0.000683353558914263,0.00068178390088231,0.0844682322458851,0.186960339182687
955,"955_2",15,"Ahrenfeldt et al., 2013",2013,1,"United States",0.739076923,"NorthAmerica","3.Middle",9,NA,NA,1,"0","Accuracy","Raw",1,"BroadMathematics",13900,7129,6771,8.15,1.5,7.96,1.4,0.13084061915263,0.000288576601200551,0.000287960800207017,0.0975427481474359,0.164138490157824
3239,"3239_1",16,"Ahun et al., 2020",2020,1,"Canada",0.754,"NorthAmerica","3.Middle",6,144,"exam scores  from standardized xams administered by Quebecâ€™s Ministry of Education and Teaching",1,"0","Accuracy","Raw",1,"NationalTest",1173,559,614,74.23,13.18,74.46,13.88,-0.0169729801311661,0.00341769605789165,0.00341757326076696,-0.131672912447324,0.0977269521849921
1702,"1702_1",17,"Ajai & Imoko, 2015",2015,1,"Nigeria",0.631230769230769,"Africa","3.Middle",7,NA,"Algebra Achievement Test (SAAT)",1,"0","Accuracy","Raw",1,"AdvancedMaths",428,261,167,17.32,4.34,18.25,3.46,-0.231339735046903,0.00988196268994816,0.00981944157661688,-0.426728478319631,-0.035950991774175
72,"72_1",18,"Ajogbeje, 2010",2010,1,"Nigeria",0.631230769230769,"Africa",NA,NA,NA,"Mathematics achievement Test (MAT)",0,"0","Accuracy","Raw",1,"NationalTest",338,169,169,13.7,4.72,14.1,3.85,-0.0928715655748311,0.0118470785912608,0.0118343195266272,-0.306969071828758,0.121225940679096
3443,"3443_1",19,"Al Hosni & Al-Manthari, 2021",2021,1,"Oman",0.604083333333333,"MiddleEast","3.Middle",9,NA,"Multiple Intelligences Scale",0,"0","Accuracy","Raw",1,"BroadMathematics",112,58,54,0.77,0.18,0.72,0.33,0.189990379821599,0.0359210422236167,0.0357598978288633,-0.185535995459807,0.565516755103005
510,"510_1",20,"Al-Fayez & Jubran, 2012",2012,1,"Jordan",0.614153846153846,"MiddleEast","4.High",10,NA,NA,0,"0","Accuracy","Raw",1,"BroadMathematics",71,34,37,54.06,6.23,56.11,8.84,-0.266134340839791,0.0569375768552631,0.0564387917329094,-0.741921053785105,0.209652372105522
510,"510_2",21,"Al-Fayez & Jubran, 2012",2012,1,"Jordan",0.614153846153846,"MiddleEast","4.High",10,NA,NA,0,"0","Accuracy","Raw",1,"BroadMathematics",71,35,36,55.03,8.18,53.33,8.1,0.208857561827933,0.0566563998783099,0.0563492063492064,-0.265752899429734,0.6834680230856
3307,"3307_1",22,"Alghadari et al., 2020",2020,1,"Indonesia",0.680076923076923,"EastAsia&Oceania","4.High",11,NA,"Geometry Problem Solving test",0,"0","Accuracy","Raw",1,"BroadMathematics",101,49,52,9,3.86,8.87,4.07,0.0327491434054103,0.0396442419336684,0.0396389324960754,-0.362228795932653,0.427727082743474
3123,"3123_1",23,"Alomyan et al., 2020",2020,1,"Jordan",0.614153846153846,"MiddleEast","1.KindergartenPreschool",0,66,"Achievement pre-test",1,"0","Accuracy","Raw",1,"BroadMathematics",55,25,30,20.05,4.04,20.3,4.69,-0.0567208275772137,0.0733625810813428,0.0733333333333333,-0.599526932485005,0.486085277330577
1441,"1441_1",24,"Alordiah et al., 2015",2015,1,"Kenya",0.692076923076923,"Africa","3.Middle",7,NA,"Mathematics ibjective test (MOT)",1,"0","Accuracy","Raw",1,"BroadMathematics",1900,1008,892,27.11,10.17,24.84,8.2,0.244156142311618,0.00212882715204432,0.00211313972524735,0.153667298977839,0.334644985645397
2505,"2505_1",25,"Alreshidi, 2018",2018,0,"Saudi Arabia",0.596230769230769,"MiddleEast","3.Middle",7,NA,"Math Academic Achievement Test",0,"0","Accuracy","Raw",1,"BroadMathematics",60,30,30,42.7,12.6,46.1,11.66,-0.280086613459331,0.0673204042586593,0.0666666666666667,-0.799087404402282,0.238914177483618
2505,"2505_2",26,"Alreshidi, 2018",2018,0,"Saudi Arabia",0.596230769230769,"MiddleEast","3.Middle",8,NA,"Math Academic Achievement Test",0,"0","Accuracy","Raw",1,"BroadMathematics",61,30,31,46.3,12.6,43.9,11.4,0.199919540104941,0.0659190029520507,0.0655913978494624,-0.313477742261096,0.713316822470978
3456,"3456_1",27,"Alsalhi et al., 2021",2021,1,"United Arab Emirates",0.66,"MiddleEast","5.UniversityAdults",14,NA,"Achievement test design",0,"0","Accuracy","Raw",1,"BroadMathematics",99,49,50,16.88,2.03,16.86,2.21,0.00942135757615135,0.0404086115581272,0.0404081632653061,-0.389443817531971,0.408286532684274
3724,"3724_1",28,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,590,25.21,556.43,18.88,1.50733863688109,0.183429817254188,0.142857142857143,0.630032336959689,2.38464493680248
3724,"3724_1",29,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,493.14,22.01,473.21,21.42,0.917714076448961,0.157896412966296,0.142857142857143,0.103755294287397,1.73167285861052
3724,"3724_1",30,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,525.93,13.67,499.36,15.96,1.78812012594319,0.199953099728627,0.142857142857143,0.872152019787423,2.70408823209896
3724,"3724_1",31,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,523.71,43.19,835.57,1271.59,-0.346638823520414,0.14500282989235,0.142857142857143,-1.12665663603461,0.433378988993779
3724,"3724_1",32,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,618.07,35.75,582.79,27.61,1.10455824052228,0.164643730476887,0.142857142857143,0.273390114820119,1.93572636622443
3724,"3724_1",33,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,488.07,18.93,471.14,14.34,1.00818425762685,0.161007776737975,0.142857142857143,0.186245030091632,1.83012348516206
3724,"3724_1",34,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,603.86,44.61,567.71,33.39,0.917479564146702,0.157888727689765,0.142857142857143,0.103540591093934,1.73141853719947
3724,"3724_1",35,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,529.93,23.49,493.93,21.6,1.59540546642598,0.188309260755391,0.142857142857143,0.706507074424364,2.48430385842761
3724,"3724_1",36,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,622.57,25.13,590.5,14.05,1.57528016904718,0.187169778767738,0.142857142857143,0.689075273441699,2.46148506465266
3724,"3724_1",37,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",22,11,11,464.36,14.24,450.36,13.76,0.999853093603066,0.204538777472446,0.181818181818182,0.0619240168257611,1.93778217038037
3724,"3724_1",38,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,587.29,23.42,554.71,23.03,1.40274926581627,0.177994741120501,0.142857142857143,0.538538112455523,2.26696041917701
3724,"3724_1",39,"Amey, 2021",2021,0,"United States",0.739076923,"NorthAmerica","4.High",11,NA,"SAT",1,"0","Accuracy","Raw",1,"NationalTest",28,14,14,600.93,23.98,563.71,20.89,1.65509495299022,0.191773916132388,0.142857142857143,0.758056521469054,2.55213338451139
2175,"2175_1",40,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",374104,190972,183132,32.47,10.67,32.96,10.3,-0.0467088929988227,1.06998277802534e-05,1.06969118522158e-05,-0.0531200718119656,-0.0402977141856797
2175,"2175_2",41,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",372910,190533,182377,32.9,11.09,33.05,10.76,-0.0137238799587762,1.07318347343458e-05,1.07315822003817e-05,-0.0201446407252242,-0.00730311919232829
2175,"2175_3",42,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",379415,193474,185941,33.64,10.82,34.01,10.42,-0.0348207355684596,1.05483010119963e-05,1.05467031789829e-05,-0.0411863559228944,-0.0284551152140247
2175,"2175_4",43,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",381448,194531,186917,30.61,11.22,31.04,10.59,-0.0393923254928773,1.0492571055604e-05,1.04905370230389e-05,-0.0457411076932461,-0.0330435432925085
2175,"2175_5",44,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",380397,194443,185954,26.04,14.59,25.69,14.62,0.0239649323937377,1.05213242885375e-05,1.05205693956432e-05,0.0176074571717935,0.030322407615682
2175,"2175_6",45,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",394674,200782,193892,23.04,15.48,22.64,15.77,0.0256030455794055,1.013886696178e-05,1.01380365093776e-05,0.0193621899641304,0.0318439011946806
2175,"2175_7",46,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",399638,203755,195883,25.43,15.74,25.1,16.02,0.0207836581929365,1.00134837030706e-05,1.00129432634129e-05,0.0145815119272695,0.0269858044586034
2175,"2175_8",47,"Anderson, 2017",2017,1,"United States",0.739076923,"NorthAmerica","3.Middle",8,NA,"Grade 5 State of Texas Assessments of Academic Readiness Mathematics test score",1,"0","Accuracy","Raw",1,"NationalTest",326662,168807,157855,29.87,10.78,31.12,10.35,-0.118210108035647,1.22802410933562e-05,1.22588525791706e-05,-0.125078469561773,-0.111341746509521
1440,"1440_1",48,"Anjum, 2015",2015,1,"India",0.648153846153846,"EastAsia&Oceania","2.Primary",3,NA,"NCERT",1,"0","Accuracy","Raw",1,"BroadMathematics",307,147,160,11.6,12.64,17.84,15.71,-0.435669976190373,0.0133618551733763,0.0130527210884354,-0.663125749303795,-0.20821420307695
100,"100_1",49,"Annor, 2010",2010,0,"United States",0.739076923,"NorthAmerica","5.UniversityAdults",14,236,"SAT Math score",1,"0","Accuracy","Raw",1,"NationalTest",90,55,35,534,79,530,89,0.0481889557491001,0.0467661477280034,0.0467532467532468,-0.381438991997641,0.477816903495842
2866,"2866_1",50,"Aragon Estibaliz et al., 2019",2019,1,"Spain",0.756461538461539,"CentralEurope","1.KindergartenPreschool",0,59,"symbolic comparison - Test of early mathematical ability  TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,29.3,11.02,32.8,8.72,-0.348870043322738,0.0375074567035105,0.0369491525423729,-0.732714554518849,0.0349744678733729
2866,"2866_1",51,"Aragon Estibaliz et al., 2019",2019,1,"Spain",0.756461538461539,"CentralEurope","1.KindergartenPreschool",0,59,"non-symbolic comparison -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,33.35,8.41,35.5,5.74,-0.294143383390755,0.0373460347900452,0.0369491525423729,-0.677161022672514,0.0888742558910031
2866,"2866_1",52,"Aragon Estibaliz et al., 2019",2019,1,"Spain",0.756461538461539,"CentralEurope","1.KindergartenPreschool",0,60,"numerical estimation task -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,3,2.01,3,1.84,0,0.0369491525423729,0.0369491525423729,-0.380977008608569,0.380977008608569
2866,"2866_1",53,"Aragon Estibaliz et al., 2019",2019,1,"Chile",0.708230769230769,"SouthAmerica","1.KindergartenPreschool",0,60,"informal thinking -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,11.71,3.75,12.42,2.76,-0.213000133373957,0.0371572674819019,0.0369491525423729,-0.595048555933649,0.169048289185736
2866,"2866_1",54,"Aragon Estibaliz et al., 2019",2019,1,"Chile",0.708230769230769,"SouthAmerica","1.KindergartenPreschool",0,60,"informal thinking -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,2.54,1.08,2.78,1.2,-0.211169655640249,0.0371537058610115,0.0369491525423729,-0.593199767592843,0.170860456312345
2866,"2866_1",55,"Aragon Estibaliz et al., 2019",2019,1,"Chile",0.708230769230769,"SouthAmerica","1.KindergartenPreschool",0,60,"informal thinking -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,2.25,1.39,2.6,1.24,-0.26446625979802,0.0372699892514167,0.0369491525423729,-0.647093742196298,0.118161222600257
2866,"2866_1",56,"Aragon Estibaliz et al., 2019",2019,1,"Chile",0.708230769230769,"SouthAmerica","1.KindergartenPreschool",0,60,"informal thinking -  Test of early mathematical ability TEMA 3",1,"0","Accuracy","Raw",1,"BasicNumeracy",109,59,50,1.72,0.63,1.84,0.46,-0.214819662660991,0.037160838264693,0.0369491525423729,-0.596886442048994,0.167247116727012
2497,"2497_1",57,"Aragon et al., 2018",2018,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",3,NA,"Woodcock-Johnson III-Test of Achievement (WJ-III-ACH)",1,"0","Accuracy","Raw",1,"Computation",64,44,20,53.32,15.44,45.85,12.23,0.514043669875053,0.0747916547158556,0.0727272727272727,-0.032296693573686,1.06038403332379
2497,"2497_2",58,"Aragon et al., 2018",2018,1,"Spain",0.756461538461539,"CentralEurope","2.Primary",4,NA,"Woodcock-Johnson III-Test of Achievement (WJ-III-ACH)",1,"0","Accuracy","Raw",1,"Computation",74,44,30,55.52,12.87,48.3,11.13,0.591849208032821,0.0584273998785052,0.0560606060606061,0.110216369356818,1.07348204670882
1442,"1442_1",59,"Arhin & Offoe, 2015",2015,1,"Ghana",0.682692307692308,"Africa","4.High",11,NA,"Developped for the experiement (amthematicd achievement)",0,"0","Accuracy","Raw",1,"BroadMathematics",42,27,15,45.6,16.6,40.8,22.7,0.253170226356903,0.10446674136458,0.103703703703704,-0.399100320989147,0.905440773702954
1043,"1043_1",60,"Arnup et al., 2013",2013,1,"Australia",0.735230769230769,"EastAsia&Oceania",NA,NA,117,"Woodcock Johnson III (WJ-III) Tests of Achievement Standard Battery",1,"0","Accuracy","Raw",1,"BroadMathematics",189,96,93,109.69,13.33,105.46,10.39,0.35326145377745,0.0214994967824265,0.0211693548387097,0.0640256229140829,0.642497284640818
2368,"2368_1",61,"Assouline et al., 2017",2017,1,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"ACT Explore",1,"0","Accuracy","Raw",1,"NationalTest",219,108,111,14.76,2.66,13.92,2.41,0.331184134633554,0.0185186859190285,0.0182682682682683,0.0629834776266222,0.599384791640486
2368,"2368_1",62,"Assouline et al., 2017",2017,1,"United States",0.739076923,"NorthAmerica","4.High",9,NA,"ACT Explore",1,"0","Accuracy","Raw",1,"NationalTest",219,108,111,17.66,3.06,16.65,2.54,0.359627162945902,0.0185635461137672,0.0182682682682683,0.0911018539581521,0.628152471933651
3318,"3318_1",63,"Atit et al., 2020",2020,1,"United States",0.739076923,"NorthAmerica","3.Middle",7,145,"Michigan Student Test for Educational Progress (M-STEP) Mathematics",1,"0","Accuracy","Raw",1,"NationalTest",1056,530,526,1591.11,22.79,1590.5,21,0.0278326848831032,0.00378829992623127,0.00378793313724083,-0.0929398894158785,0.148605259182085
2095,"2095_1",64,"Aurino et al., 2019",2019,1,"Ethiopia",0.653923076923077,"Africa","4.High",10,180,"general math test",0,"0","Accuracy","z-score",1,"BroadMathematics",1708,901,807,-0.43,0.9,-0.46,0.85,0.0342179464030184,0.00234937804632691,0.00234903528641589,-0.0608496272491591,0.129285520055196
2095,"2095_1",65,"Aurino et al., 2019",2019,1,"India",0.648153846153846,"EastAsia&Oceania","4.High",10,180,"general math test",0,"0","Accuracy","z-score",1,"BroadMathematics",1836,992,844,-0.13,0.94,-0.28,0.87,0.165108323592794,0.00220032259319699,0.00219289863935178,0.0731104762117432,0.257106170973846
2095,"2095_1",66,"Aurino et al., 2019",2019,1,"Peru",0.707692307692308,"SouthAmerica","4.High",10,180,"general math test",0,"0","Accuracy","Raw",1,"BroadMathematics",1860,922,938,0.24,0.91,0.07,0.92,0.185780834057111,0.00215997487582301,0.00215069677950502,0.0946311558614355,0.276930512252787
2095,"2095_1",67,"Aurino et al., 2019",2019,1,"Vietnam",0.711,"EastAsia&Oceania","4.High",10,180,"general math test",0,"0","Accuracy","Raw",1,"BroadMathematics",1888,925,963,0.36,1.22,0.53,1.24,-0.138184182163907,0.00212455958390509,0.00211950268025034,-0.22858264669618,-0.0477857176316348
2067,"2067_1",68,"Awofala, 2017",2017,1,"Nigeria",0.631230769230769,"Africa","3.Middle",8,NA,"Mathematics Proficiency Test (MPT)",1,"0","Accuracy","Raw",1,"BroadMathematics",400,198,202,138.53,9.4,139.36,9.41,-0.0882504463609537,0.0100107352766136,0.01000100010001,-0.284947175442623,0.108446282720715
2067,"2067_1",69,"Awofala, 2017",2017,1,"Nigeria",0.631230769230769,"Africa","3.Middle",8,NA,"Mathematics Conceptual Understanding Checklist (MCUC)",1,"0","Accuracy","Raw",1,"BroadMathematics",400,198,202,21.15,3.07,21.28,3.23,-0.0412460185161909,0.0100031266425643,0.01000100010001,-0.237867983963244,0.155375946930862
2067,"2067_1",70,"Awofala, 2017",2017,1,"Nigeria",0.631230769230769,"Africa","3.Middle",8,NA,"Mathematics Procedural Fluency Checklist (MPFC)",1,"0","Accuracy","Raw",1,"Computation",400,198,202,21.33,3.16,21.06,3.07,0.0866809078242104,0.0100103920747365,0.01000100010001,-0.110012449513857,0.283374265162278
2067,"2067_1",71,"Awofala, 2017",2017,1,"Nigeria",0.631230769230769,"Africa","3.Middle",8,NA,"Mathematics Strategic Competence Checklist (MSCC)",1,"0","Accuracy","Raw",1,"AdvancedMaths",400,198,202,14.5,2.41,15,2.94,-0.185822269385043,0.0100441624947593,0.01000100010001,-0.382847123459913,0.011202584689826
508,"508_1",72,"B. A. Price et al., 2012",2012,1,"United States",0.676846153846154,"NorthAmerica","5.UniversityAdults",14,NA,NA,0,"0","Accuracy","Raw",1,"BroadMathematics",825,472,353,0.76,0.2,0.77,0.19,-0.0510763092791517,0.00495308634206472,0.00495150525759831,-0.189217644429362,0.0870650258710587
244,"244_1",73,"Baran et al., 2011",2011,1,"Turkiye",0.620076923076923,"MiddleEast","1.KindergartenPreschool",0,NA,"Test of early mathematics ability-3 (TEMA-3)",0,"0","Accuracy","Raw",1,"BroadMathematics",80,36,44,96.1,14.17,96.3,15.98,-0.0131626473292861,0.05050613335058,0.0505050505050505,-0.460400936690641,0.434075642032069
927,"927_1",74,"Barlow, 2013",2013,0,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"LEAP math",1,"0","Accuracy","Raw",1,"BroadMathematics",3102,1662,1440,352.55,58.06,352.53,53.4,0.000357493009272128,0.00129612918225244,0.00129612916165263,-0.0702322700394939,0.0709472560580381
1915,"1915_1",75,"Baroody et al., 2016",2016,2,"United States",0.739076923,"NorthAmerica","2.Primary",5,NA,"Standards of Learning Assessment (SOL)",1,"0","Accuracy","Raw",1,"BroadMathematics",325,148,177,552.22,58.16,536.63,62.99,0.256248459389291,0.0125074946907878,0.0124064742708811,0.0362328138713659,0.476264104907215
1202,"1202_1",76,"Basak & Ghosh, 2014",2014,1,"India",0.648153846153846,"EastAsia&Oceania","2.Primary",4,114,"ad-hoc paper and pencil",0,"0","Accuracy","Raw",1,"Computation",429,189,240,1.34,0.77,1.36,0.8,-0.0254151403543046,0.00945842478909297,0.00945767195767196,-0.216569616180352,0.165739335471743
1202,"1202_1",77,"Basak & Ghosh, 2014",2014,1,"India",0.648153846153846,"EastAsia&Oceania","2.Primary",4,114,"ad-hoc paper and pencil",0,"0","Accuracy","Raw",1,"Computation",429,189,240,0.82,0.93,0.82,0.8,0,0.00945767195767196,0.00945767195767196,-0.191146868324666,0.191146868324666
1202,"1202_1",78,"Basak & Ghosh, 2014",2014,1,"India",0.648153846153846,"EastAsia&Oceania","2.Primary",4,114,"ad-hoc paper and pencil",0,"0","Accuracy","Raw",1,"Computation",429,189,240,0.89,0.81,1.02,0.84,-0.157208806441112,0.00948647686305965,0.00945767195767196,-0.348646538179108,0.0342289252968842
1069,"1069_1",79,"Bass et al., 2013",2013,1,"United States",0.739076923,"NorthAmerica","3.Middle",7,NA,"Math partt of Illinois Standards Achievement Test",1,"0","Accuracy","Raw",1,"BroadMathematics",838,395,443,264.7,30.1,264.2,28.6,0.017055241169032,0.00478915546956792,0.00478898191273538,-0.118777751607898,0.152888233945962
988,"988_1",80,"Baxter et al., 2013",2013,1,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"PACT mathematics",1,"0","Accuracy","Raw",1,"NationalTest",576,271,305,405,15,406,14,-0.0690655969031347,0.00697286609915673,0.00696872542495917,-0.233074443839718,0.0949432500334487
988,"988_2",81,"Baxter et al., 2013",2013,1,"United States",0.739076923,"NorthAmerica","2.Primary",4,NA,"PACT mathematics",1,"0","Accuracy","Raw",1,"NationalTest",621,284,337,404,15,405,15,-0.0666666666666667,0.00649206426869322,0.00648848581100848,-0.224895912575537,0.0915625792422037
